year,GEOID,NAME,race_ethnicity,sex,adult_above_poverty_line_pop,adult_below_poverty_line_pop,child_above_poverty_line_pop,child_below_poverty_line_pop,total_child_pop,total_pop,total_pov,child_pov_pct,pov_pct,adult_above_poverty_line_pop_moe,adult_below_poverty_line_pop_moe,child_above_poverty_line_pop_moe,child_below_poverty_line_pop_moe,total_child_pop_moe,total_pop_moe,total_pov_moe,child_pov_pct_moe,pov_pct_moe,high_child_pov_pct_moe,high_pov_pct_moe,child_poverty_year,total_poverty_year
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,blackorafricanamericanalone,total,1164,216,190,8,198,1578,224,,0.141951837769328,296.322459493033,130.034610777285,127.381317311449,48.2493523272593,136.213068389197,351.098276839975,138.697512594855,,0.0820238587717901,TRUE,FALSE,,2023
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,combinedother,female,158,21,0,0,0,179,21,,0.303482587064677,110.272390016722,71.7356257378438,59.4053869611166,59.4053869611166,84.0119039184329,156.089717790763,93.1396800509858,,0.401721000966484,FALSE,TRUE,2023,2022
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,combinedother,male,141,0,69,0,69,210,0,,,116.858889263932,64.1638527521532,91.2578763723987,59.4053869611166,108.889852603445,172.133668990119,87.4414089547967,,,TRUE,TRUE,,
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,combinedother,total,299,21,69,0,69,389,21,0.445255474452555,0.158854166666667,160.676694016276,96.2496753241277,108.894444302728,84.0178552451799,137.539085353946,232.37469741777,127.761496547278,0.494786259884262,0.307746403545372,TRUE,TRUE,2021,2022
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,hispanicorlatino,female,179,43,95,0,95,317,43,1,0.135646687697161,99.8398717947895,58.5747385824299,90.9780193233509,34.3074335968169,97.2316820794539,151.172087370652,67.8822509939086,0,0.204135420815486,TRUE,FALSE,2022,2023
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,hispanicorlatino,male,200,0,69,111,180,380,111,0.616666666666667,0.292105263157895,111.94194924156,37.0540146272978,77.3045923603508,94.1700589359484,121.835955284144,169.552351797314,101.197826063607,0.315404730517667,0.232236849023243,FALSE,FALSE,2023,2023
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,hispanicorlatino,total,379,43,164,111,275,697,154,0.403636363636364,0.220946915351506,150,69.3181073024935,119.3901168439,100.229736106607,155.884572681199,227.167339201744,121.864679050166,0.283706000043638,0.159323539274972,FALSE,FALSE,2023,2023
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,total,female,1020,212,286,0,286,1518,212,0.104615384615385,0.13965744400527,256.778114332199,129.425654334834,148.4789547377,34.3074335968169,152.390944612861,325.43662977606,133.895481626528,0.134537738053977,0.0829682083820455,TRUE,FALSE,2022,2023
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,total,male,852,83,162,119,281,1216,202,0.423487544483986,0.166118421052632,214.995348786898,63.9140047250992,100.458946838995,95.7026645397086,138.747972958166,263.740402668988,115.082579046526,0.268830365028078,0.0875136656044371,FALSE,FALSE,2023,2023
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,total,total,1872,295,448,119,567,2734,414,0.209876543209877,0.151426481346013,334.901478049889,144.350268444503,179.273534019944,101.671038157383,206.097064510876,418.893781285901,176.561603980027,0.162276762638171,0.0602684262697858,FALSE,FALSE,2023,2023
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,twoormoreraces,female,18,22,95,0,95,135,22,,0.540540540540541,39.2173431022552,49.0102030193714,90.9780193233509,34.3074335968169,97.2316820794539,115.732450073434,59.8247440445841,,1.03378209021412,TRUE,TRUE,2022,2022
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,twoormoreraces,male,34,0,0,111,111,145,111,1,0.76551724137931,49.4064773081425,37.0540146272978,34.3074335968169,94.1700589359484,100.224747442934,117.724254085554,101.197826063607,0,0.317495796882109,FALSE,FALSE,2023,2023
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,twoormoreraces,total,52,22,95,111,206,280,133,0.538834951456311,0.475,63.08724118235,61.4491659829489,97.2368243002619,100.229736106607,139.645980966156,165.096941219394,117.567002173229,0.321417115276912,0.312824104888817,FALSE,FALSE,2023,2023
